nome;Associacao Amor e Vida;
cidades;cariacica;
instagram;amorevida.cariacica;
telefone admin;27991963875;
tags;criancas;
descricao;A nossa Organizacao Social Civil (OSC) esta devidamente registrada nos orgaos competentes, esta aberta a todos que queiram ajudar, e denominada 'Associacao Amor e Vida', alem de ser totalmente filantropica. Seu nome remete a beleza divina da pureza das criancas, assim a nossa ONG vai sendo construida ao longo dos anos, onde varias pessoas depreendidas e anonimas dedicam muito 'Amor e Vida aos anjos do nosso Pai Eterno'. Alem das oficinas de brincadeiras, esportes, musica, danca, artes, leitura, meio ambiente, etc., planejamos eventos maiores com apoio de varios grupos.;
quantidade de membros;1;
