nome;Plantao So Riso;
cidades;vitoria;
instagram;plantao_so_riso;
telefone admin;27994957816;
tags;criancas;idosos;
descricao;PRE-PA-RA! O Plantao So Riso nasceu e tem uma missao e tanto: amar o proximo atraves do riso. Somos um grupo de palhacos humanitarios e queremos rir e fazer todos sorrirem tambem, nao importa a cor, o genero, a classe, a idade, a orientacao sexual ou o tamanho do dedo do pe. O sorriso eh universal! Por aqui, voce vai acompanhar as nossas acoes em hospitais, instituicoes de longa permanencia para idosos, casas de acolhimentos para criancas e adolescentes, dentre outras acoes sociais que participamos! Contamos com o seu apoio. Aqui voce vai entrar: So Riso!;
quantidade de membros;2;
