nome;Programa de Voluntariado em Unidades de Conservacao;
cidades;serra;vitoria;
instagram;programadevoluntariado.es;
telefone admin;27995244865;
tags;meio ambiente;sustentabilidade;
descricao;Eh um programa que procura incentivar e valorizar o trabalho voluntario nas areas naturais publicas do Estado, com o objetivo de aproximar e envolver a sociedade em atividades de conservacao dos recursos naturais, promovendo conhecimento e a troca de experiencias entre profissionais das Unidades de Conservacao e voluntarios.;
quantidade de membros;2;
