nome;Projeto Sta. Teresa De Calcuta;
cidades;guarapari;
instagram;projetocalcuta;
telefone admin;27991543628;
tags;apoio a mulheres;criancas;idosos;
descricao;Somos um projeto social. Nossa missao eh tornar-se uma expressao viva do amor misericordioso, que brota do coracao de Deus. Santa Teresa de Calcuta dizia, 'a todos os que sofrem e estao sos, dai sempre um sorriso de alegria. Nao lhes proporciones apenas os vossos cuidados, mas tambem o vosso coracao'. Com exemplo de sua vida, nosso projeto nasce para levar esperanca a muitas familias atraves da doacao de alimentos, fruto da generosidade de pessoas de bom coracao. Nos unimos ao sofrimento do proximo, e voce pode ser resposta a essa oracao.;
quantidade de membros;2;
