nome;Projeto Fazendo Arte;
cidades;vitoria;
instagram;fazendoartevitoria;
telefone admin;27991475869;
tags;apoio a mulheres;
descricao;O objetivo e realizar acoes de qualificacao e fomento a inovacao e empreendedorismo que contribuam para a formacao de mulheres do Territorio do Centro de Vitoria enquanto empreendedoras locais, de modo a promover o desenvolvimento de relacoes de consumomais seguras, inclusivas e sustentaveis tanto para estas mulheres, como para os consumidores. Como? Atraves do trabalho em grupo favorecer o resgate da autoestima, do sentimento de pertencimento ao Espirito Santo, da identidade capixaba, visando fomentar o empreendedorismo local e qualificar as relacoes de consumo.;
quantidade de membros;1;
